cod_localidad;localidad;cod_upz;upz;extension;poblacion;densidad
10;ENGATIVA;31;SANTA CECILIA;308,5797679;65210;211,3229926
11;SUBA;2;LA ACADEMIA;672,0730805;920;1,36889875
11;SUBA;20;LA ALHAMBRA;284,7741175;36637;128,6528436
11;SUBA;71;TIBABUYES;726,3801489;222576;306,4180655
12;BARRIOS UNIDOS;21;LOS ANDES;274,8166458;46625;169,6585731
14;LOS MARTIRES;37;SANTA ISABEL;200,4626733;45086;224,9097015
16;PUENTE ARANDA;108;ZONA INDUSTRIAL;346,9535229;4247;12,24083262
18;RAFAEL URIBE URIBE;54;MARRUECOS;362,8884986;96465;265,8254543
1;USAQUEN;10;LA URIBE;345,2642542;17055;49,39694681
5;USME;56;DANUBIO;288,7408656;36193;125,3476882
5;USME;58;COMUNEROS;493,035619;86795;176,0420478
5;USME;60;PARQUE ENTRENUBES;382,0197218;1948;0
7;BOSA;87;TINTAL SUR;576,9037692;42439;73,56339526
8;KENNEDY;78;TINTAL NORTE;343,3726269;29348;85,46982987
9;FONTIBON;117;AEROPUERTO EL DORADO;743,5369795;835;1,123010722
10;ENGATIVA;30;BOYACA REAL;453,7818192;121920;268,675374
11;SUBA;19;EL PRADO;433,4033581;89013;205,3814266
12;BARRIOS UNIDOS;98;LOS ALCAZARES;414,0269976;82086;198,2624333
15;ANTONIO NARINO;35;CIUDAD JARDIN;133,2391333;30913;232,0114162
18;RAFAEL URIBE URIBE;36;SAN JOSE;207,9471071;49050;235,8772896
19;CIUDAD BOLIVAR;70;JERUSALEM;537,4763444;98693;183,622965
20;SUMAPAZ;110;SUMAPAZ;537,4763444;6531;183,622965
